Date Time,Elapsed,Control,R 1,Dox 12.5,NVB 2.5,Dox 25,NVB 5,Dox 50,NVB 10,Dox 100,NVB 20
3/3/2017 12:00,0,0.0458,0.0603,0.0792,0.0887,0.0584,0.0687,0.0497,0.0697,0.0847,0.0499
3/3/2017 15:00,3,0.0686,0.1132,0.1028,0.1029,0.082,0.0884,0.0839,0.1145,0.1309,0.0837
3/3/2017 18:00,6,0.126,0.1157,0.1255,0.1005,0.0897,0.1162,0.1157,0.1108,0.1501,0.1412
3/3/2017 21:00,9,0.1083,0.0988,0.1088,0.1029,0.0806,0.0983,0.0898,0.1087,0.1332,0.179
3/4/2017 0:00,12,0.0961,0.1019,0.1166,0.0914,0.106,0.0885,0.0919,0.1201,0.1323,0.2679
3/4/2017 3:00,15,0.1016,0.0985,0.1038,0.1018,0.1103,0.1,0.0885,0.1236,0.1355,0.3666
3/4/2017 6:00,18,0.108,0.0868,0.118,0.1014,0.1126,0.1189,0.0875,0.1414,0.1502,0.3938
3/4/2017 9:00,21,0.1068,0.0969,0.1109,0.1032,0.1244,0.1237,0.092,0.1548,0.1361,0.457
3/4/2017 12:00,24,0.0737,0.0651,0.1075,0.0707,0.1222,0.1066,0.0909,0.1573,0.1205,0.4295
3/4/2017 15:00,27,0.0858,0.1003,0.1045,0.0809,0.1146,0.1135,0.1164,0.1762,0.1551,0.4873
3/4/2017 18:00,30,0.0916,0.0911,0.1172,0.0926,0.1176,0.1041,0.1258,0.1817,0.1849,0.4552
3/4/2017 21:00,33,0.0853,0.0862,0.1092,0.0777,0.1188,0.0902,0.1546,0.1788,0.1839,0.4159
3/5/2017 0:00,36,0.0868,0.1019,0.1055,0.0817,0.1226,0.0868,0.1698,0.2038,0.2256,0.4144
3/5/2017 3:00,39,0.0947,0.1025,0.1054,0.0842,0.1156,0.0944,0.1743,0.2149,0.2684,0.4233
3/5/2017 6:00,42,0.0955,0.1141,0.1052,0.093,0.1249,0.0883,0.2151,0.1963,0.3141,0.4211
3/5/2017 9:00,45,0.0971,0.1129,0.1041,0.0961,0.1187,0.0983,0.2158,0.1695,0.3434,0.4281
3/5/2017 12:00,48,0.1243,0.1383,0.1259,0.1329,0.1379,0.1296,0.2705,0.2277,0.3987,0.5895
3/5/2017 15:00,51,0.1356,0.1548,0.1472,0.1673,0.1561,0.1822,0.3332,0.2926,0.4491,0.6156
3/5/2017 18:00,54,0.136,0.1568,0.1484,0.1833,0.1772,0.198,0.3339,0.3119,0.4952,0.6401
3/5/2017 21:00,57,0.1234,0.1459,0.1351,0.1691,0.1763,0.18,0.3306,0.2987,0.4852,0.6046
3/6/2017 0:00,60,0.1186,0.176,0.1402,0.1682,0.196,0.1746,0.3919,0.299,0.4555,0.629
3/6/2017 3:00,63,0.1333,0.192,0.1676,0.1814,0.2032,0.1748,0.4344,0.3195,0.5228,0.6691
3/6/2017 6:00,66,0.1471,0.1939,0.1771,0.1851,0.2225,0.1905,0.4618,0.3547,0.5471,0.631
3/6/2017 9:00,69,0.155,0.1926,0.181,0.1825,0.2268,0.2008,0.471,0.3523,0.5512,0.649
3/6/2017 12:00,72,0.1886,0.2532,0.2176,0.2515,0.2877,0.2384,0.5875,0.3815,0.6914,0.7695
3/3/2017 12:00,0,0.1228,0.0669,0.0884,0.0436,0.1027,0.0809,0.073,0.0387,0.0759,0.0753
3/3/2017 15:00,3,0.1737,0.0849,0.0988,0.0995,0.1403,0.079,0.1108,0.0776,0.0855,0.1389
3/3/2017 18:00,6,0.1728,0.0931,0.1266,0.1141,0.1339,0.1063,0.122,0.0882,0.1073,0.1904
3/3/2017 21:00,9,0.1579,0.0848,0.1085,0.1106,0.1445,0.1128,0.0977,0.097,0.0916,0.2289
3/4/2017 0:00,12,0.1469,0.0842,0.0974,0.1036,0.1793,0.123,0.1067,0.1217,0.0921,0.2727
3/4/2017 3:00,15,0.1592,0.0711,0.0924,0.1026,0.1776,0.132,0.0898,0.1482,0.0936,0.3759
