Date Time,Elapsed,Control,R 1,Dox 12.5,NVB 2.5,Dox 25,NVB 5,Dox 50,NVB 10,Dox 100,NVB 20,Dox 200,NVB 40,"Dox 12.5, R 1","NVB 2.5, R 1","Dox 25, R 1","NVB 5, R 1","Dox 50, R 1","NVB 10, R 1","Dox 100, R 1","NVB 20, R 1"
3/3/2017 12:00,0,0.0028,0.0064,0.0116,0.0055,0.0037,0.0246,0.002,0.0026,0.003,0.0029,0.0039,0.0198,0.0061,0.0113,0.0096,0.0035,0.0055,0.013,0.0122,0.0025
3/3/2017 15:00,3,0.018,0.0232,0.021,0.0198,0.0116,0.0299,0.028,0.0208,0.0201,0.0168,0.0348,0.0434,0.0212,0.0321,0.0159,0.0214,0.029,0.03,0.0469,0.0208
3/3/2017 18:00,6,0.0365,0.0278,0.0154,0.0423,0.0194,0.0384,0.0373,0.0452,0.04,0.0192,0.0542,0.0485,0.0343,0.0417,0.0295,0.0284,0.0436,0.0322,0.0624,0.0207
3/3/2017 21:00,9,0.0304,0.0264,0.0147,0.0315,0.0215,0.0302,0.0329,0.0416,0.0351,0.0205,0.047,0.0396,0.0322,0.0397,0.0257,0.0235,0.036,0.0256,0.0514,0.0249
3/4/2017 0:00,12,0.0296,0.027,0.0153,0.0338,0.0265,0.0292,0.0345,0.0419,0.0338,0.0183,0.0435,0.0403,0.0312,0.0424,0.0256,0.0276,0.0336,0.0294,0.0534,0.0306
3/4/2017 3:00,15,0.03,0.028,0.0126,0.036,0.0261,0.0306,0.0378,0.0418,0.033,0.0212,0.0427,0.0436,0.0336,0.037,0.024,0.0288,0.0331,0.0327,0.0468,0.0329
3/4/2017 6:00,18,0.0302,0.0271,0.0153,0.0349,0.0216,0.029,0.039,0.0437,0.0299,0.0205,0.0454,0.0483,0.03,0.0344,0.0247,0.0281,0.0333,0.0309,0.0489,0.0345
3/4/2017 9:00,21,0.0293,0.0255,0.0175,0.0328,0.0217,0.0248,0.0346,0.0446,0.0316,0.0205,0.0458,0.0571,0.031,0.0324,0.028,0.026,0.0326,0.0307,0.0509,0.0432
3/4/2017 12:00,24,0.0219,0.0201,0.0155,0.0255,0.0177,0.0221,0.0336,0.0414,0.0243,0.0251,0.0414,0.0516,0.0307,0.0245,0.0247,0.0221,0.0276,0.0201,0.0436,0.0442
3/4/2017 15:00,27,0.0256,0.028,0.0187,0.0416,0.0282,0.0233,0.04,0.0514,0.0338,0.0296,0.0597,0.0672,0.0305,0.0338,0.025,0.0304,0.0369,0.0212,0.057,0.0551
3/4/2017 18:00,30,0.0271,0.0312,0.0179,0.0386,0.0289,0.0301,0.0373,0.0525,0.0367,0.0277,0.071,0.0753,0.0366,0.0359,0.0291,0.0274,0.0402,0.0238,0.0556,0.0491
3/4/2017 21:00,33,0.0275,0.0271,0.0173,0.0342,0.0289,0.028,0.0363,0.0493,0.0352,0.03,0.0652,0.0688,0.0314,0.0298,0.0271,0.0238,0.0368,0.0232,0.0552,0.0479
3/5/2017 0:00,36,0.0254,0.026,0.0153,0.032,0.0286,0.0261,0.0353,0.0501,0.0272,0.0319,0.063,0.0723,0.0317,0.0321,0.0255,0.0226,0.04,0.0219,0.0559,0.0452
3/5/2017 3:00,39,0.0257,0.0284,0.0176,0.0323,0.0279,0.0249,0.0366,0.0527,0.0255,0.0321,0.0593,0.0733,0.0309,0.0333,0.0259,0.028,0.0423,0.0211,0.0597,0.043
3/5/2017 6:00,42,0.025,0.0275,0.0191,0.0314,0.026,0.0214,0.0372,0.0557,0.0263,0.0303,0.0579,0.0745,0.0302,0.0346,0.0228,0.0257,0.0423,0.0186,0.0591,0.0473
3/5/2017 9:00,45,0.0239,0.0247,0.0232,0.031,0.0258,0.0261,0.0362,0.0538,0.0305,0.0303,0.0603,0.0782,0.0289,0.0339,0.0198,0.0289,0.0459,0.0193,0.0592,0.0439
3/5/2017 12:00,48,0.0323,0.0339,0.0255,0.0452,0.0329,0.0273,0.046,0.0541,0.0404,0.042,0.0802,0.0874,0.0389,0.0493,0.0271,0.0347,0.0625,0.0292,0.0866,0.0683
3/5/2017 15:00,51,0.0305,0.0421,0.0183,0.0461,0.0443,0.0432,0.0601,0.0624,0.0555,0.0656,0.0972,0.0996,0.0469,0.0702,0.0417,0.0403,0.0844,0.0323,0.1167,0.087
3/5/2017 18:00,54,0.0325,0.0415,0.0201,0.0452,0.0421,0.0445,0.0652,0.0636,0.0552,0.0765,0.099,0.1163,0.0462,0.0743,0.04,0.0405,0.084,0.0363,0.1304,0.1044
3/5/2017 21:00,57,0.0265,0.036,0.0214,0.0426,0.0385,0.0395,0.0641,0.0631,0.0501,0.0722,0.0917,0.1016,0.0367,0.0695,0.0364,0.0387,0.0736,0.0345,0.1146,0.0928
3/6/2017 0:00,60,0.0249,0.0328,0.0168,0.0437,0.0391,0.0409,0.0591,0.0594,0.0446,0.077,0.0853,0.1087,0.0359,0.0682,0.0357,0.0355,0.0797,0.03,0.1018,0.0938
3/6/2017 3:00,63,0.0243,0.0318,0.0161,0.0409,0.0367,0.0391,0.0527,0.0569,0.049,0.0823,0.0766,0.1163,0.0382,0.0641,0.0362,0.0355,0.0756,0.0309,0.0982,0.0922
3/6/2017 6:00,66,0.0262,0.0316,0.0173,0.0428,0.0344,0.0397,0.0518,0.0582,0.0506,0.0883,0.081,0.1208,0.0337,0.064,0.036,0.0334,0.0766,0.0297,0.103,0.0865
3/6/2017 9:00,69,0.025,0.0351,0.0139,0.0431,0.0337,0.0374,0.0522,0.0563,0.0478,0.0844,0.0793,0.1254,0.0341,0.0631,0.0347,0.0353,0.0734,0.0295,0.1046,0.0889
3/6/2017 12:00,72,0.0356,0.0465,0.0214,0.0545,0.0384,0.0462,0.0591,0.0763,0.0568,0.1026,0.0998,0.1643,0.0547,0.0917,0.045,0.0464,0.0865,0.0364,0.1294,0.1116
3/3/2017 12:00,0,0.0094,0.0039,0.0055,0.0046,0.0177,0.0228,0.0181,0.0106,0.0021,0.0059,0.0065,0.005,0.0084,0.003,0.0133,0.0047,0.0221,0.0047,0.0123,0.0067
3/3/2017 15:00,3,0.0376,0.0185,0.01,0.0089,0.0229,0.032,0.0245,0.0225,0.0173,0.0199,0.0159,0.0164,0.0104,0.0151,0.0449,0.0111,0.0464,0.021,0.0302,0.029
3/3/2017 18:00,6,0.0494,0.0269,0.0192,0.0257,0.0331,0.0644,0.0411,0.0265,0.0282,0.0336,0.0319,0.0232,0.0327,0.0367,0.0479,0.0197,0.0584,0.0256,0.058,0.0372
3/3/2017 21:00,9,0.0464,0.022,0.0166,0.02,0.0299,0.0594,0.0399,0.0284,0.0265,0.0314,0.0215,0.0197,0.0336,0.0323,0.0476,0.0216,0.0498,0.0246,0.0487,0.0372
3/4/2017 0:00,12,0.0409,0.0224,0.017,0.0265,0.0293,0.0511,0.0395,0.0274,0.028,0.0335,0.0235,0.0202,0.0329,0.0327,0.0449,0.0209,0.0503,0.0226,0.0445,0.0397
3/4/2017 3:00,15,0.0376,0.0224,0.0164,0.0248,0.0315,0.0515,0.0421,0.0284,0.0276,0.0377,0.0263,0.0201,0.033,0.0321,0.0503,0.0234,0.0359,0.0227,0.0424,0.041
3/4/2017 6:00,18,0.0413,0.0238,0.018,0.0231,0.0302,0.0576,0.0447,0.031,0.0245,0.0362,0.0265,0.022,0.0325,0.0299,0.0519,0.0257,0.0388,0.0258,0.0503,0.0435
3/4/2017 9:00,21,0.0385,0.0242,0.0205,0.0186,0.0305,0.0488,0.0471,0.0302,0.0255,0.0343,0.0275,0.0246,0.0307,0.0288,0.0518,0.0251,0.0381,0.0254,0.0505,0.0536
3/4/2017 12:00,24,0.0253,0.0198,0.019,0.0125,0.0252,0.0407,0.0429,0.0315,0.0241,0.029,0.022,0.0303,0.0248,0.0222,0.0443,0.0216,0.0398,0.0237,0.0434,0.0472
