Elapsed,Dox-0,Dox-0,Dox-0,Dox-12.5,Dox-12.5,Dox-12.5,Dox-20,Dox-20,Dox-20,Dox-25,Dox-25,Dox-25,Dox-40,Dox-40,Dox-40,Dox-50,Dox-50,Dox-50,Dox-80,Dox-80,Dox-80,Dox-100,Dox-100,Dox-100,Dox-200,Dox-200,Dox-200,Dox-400,Dox-400,Dox-400,NVB-0,NVB-0,NVB-0,NVB-1.25,NVB-1.25,NVB-1.25,NVB-2.5,NVB-2.5,NVB-2.5,NVB-5,NVB-5,NVB-5,NVB-10,NVB-10,NVB-10,NVB-15,NVB-15,NVB-15,NVB-20,NVB-20,NVB-20,NVB-30,NVB-30,NVB-30,NVB-40,NVB-40,NVB-40,NVB-80,NVB-80,NVB-80
0,2521.25,3153,3892.75,2645.25,3482.25,3253.5,2901,3540,3086.75,3106.5,2784.75,3129.75,2536.75,2870,2680.25,3071.25,3563.25,3412.5,3117.75,3110.25,3261,5093.5,3466.5,3094.75,3362,3331,3695.25,3106.5,2409,2622.25,3521,3079,2908.75,3849.75,3385.25,3439.25,3288.5,3505,3203,3098.5,3315.25,2579.5,3544,3292.25,3149,3404.5,3327,3083.25,3319.25,3729.75,2955,3311.75,3327.25,2889.5,3183.75,3404.75,2967,3179.75,3133.5,2691.75
3,2889.5,3396.75,4140.25,2757.5,3734,3443.25,3118,3981.75,3551.75,2579.5,2176.5,3191.75,2870,3133.5,2974.5,3420.25,3834.5,3563.5,3509,3358.25,3137,3877,3741.5,3431.5,3493.75,3702.75,3966.25,3083,2486.5,2684,3706.75,3249.5,3145,4253,3609.75,3602,3462.75,3858,3497.5,3164.5,3284.25,2680.25,3555.75,3342.5,3195.25,3424,3420,3276.75,3261.5,3633,2932.25,3458.5,3331,2866,3145.25,3373.5,3036.5,3265.25,3071.5,2723
6,3110.25,3939.25,4566.5,3028.75,4028.25,3865.5,3486,4322.5,3916,2684,2106.75,3633,3230.25,3393,3342.75,3602.25,4140.5,3939.25,3648.75,3416.25,3485.75,3625.25,4109.5,3552,3699,3989.75,4109.5,3168.25,2603,2804,4190.75,3730,3474.25,4648.25,4067,4210.5,3912,4512.5,4004.75,3633,3741.5,2978.5,4078.75,3706.75,3509.25,3695,3889,3547.75,3749.25,4001.25,3303.75,3691.25,3575,3311.75,3253.5,3695.25,3389,3633,3455,2951.25
9,3559.5,4574.5,5279.5,3451.25,4578,4140.25,3916,4551.25,4194.75,2707.5,2013.75,3958.5,3517.25,3637,3489.75,4078.5,4276.25,4345.75,3888.75,3590.25,3687.5,3489.75,4291.5,3795.75,3730,3997.5,4345.75,3400.75,2746,2904.75,4810.75,4187,4090,5407.25,4687,4783.75,4462.25,5089.75,4702.25,4195,4365.25,3513,4745,4404,4105.75,4322.75,4462.25,4140.5,4311,4822.25,3571,4078.25,4113.5,3671.75,3765,4295.5,3803.5,4206.5,3687,3404.5
12,4121.25,5508,5988.25,3997.25,5019.75,4574.5,4582.25,5147.75,4702,2692,2118.25,4229.75,3784,3923.5,3838.5,4373,4733.25,4597.5,4183.25,3997,3877,3451,4477.75,4063,4156,4450.25,4582.25,3625.25,2811.75,3013,5399.5,4640.25,4582,6151,5194,5640,5093.5,5663,5155.5,4981,5194.5,4067,5480.75,5101.25,4764.5,5213.5,5399.5,4915.25,5202,5740.5,4551.25,4880.75,4903.75,4594,4295.5,4919.25,4516.25,4830,4214.25,3993.25
15,4725.5,5992.25,6852,4454,5663,5147.5,4954.25,5515.75,4942.5,2939.75,2250,4702,4039.75,4303.25,4206.25,4973.5,5097.5,5066.5,4710,4349.75,4419.75,3563.5,4989,4376.75,4368.75,4787.5,5035.5,3788,3009.5,3245.75,5976.75,5236.75,5152,6840.75,5895.5,6232.5,5651.5,6313.75,5914.5,5787,5903,4625,6395,6247.75,5380.25,6472.25,6395,5852.75,6267,6747.5,5631.75,5736.75,6298.25,5360.75,4977.25,5942,5376.25,5647.5,4497,4380.75
18,5120.75,6468.5,7921.5,4969.5,6495.75,5728.75,5330,6437.5,5531.25,3090.5,2188,5248.5,4450.5,4621.25,4559,5608.75,5415.25,5403.5,5062.5,4516.5,4624.5,3641,5198.25,4713.75,4659.75,5054.75,5237,3989.75,3307.5,3369.75,6639.25,5790.75,5856.75,7479.75,6763,7045.75,6399,6840.75,6550,6488,6581.25,5147.75,7425.25,7158.25,6201.25,7379,7518.25,6677.75,7375.25,7770.5,6569.5,7274.5,7150.5,6344.75,5930.25,7305.5,6302.25,5853,5500.25,4938.5
21,5779.25,7088.5,8533.5,5488.75,7111.75,6263.5,6089.25,7166,6046.25,3180,2346.75,5720.75,4752.5,4907.75,4807,6197.5,6108.5,5833.25,5480.75,5217.25,4849.5,3780.25,5752,5008.5,5082,5388,5605,4163.75,3346.5,3524.5,7274.25,6348.75,6519,8068.75,7313,7820.75,7069,7553.25,7077,6786.25,7208.5,5682.25,7925,7774,6863.75,8200.25,8398,7538,8084,8897.75,7305.5,8351.5,8219.75,7274.5,6976,8095.75,7111.5,6128,6042.5,5593.25
24,6360.25,7793.5,9583.25,6065.75,7863.5,6786.25,6561.75,8033.75,6844.5,3393,2479,5911,5302.5,5589.25,5438.25,6953,6472.25,6391,5988.5,5461.25,5380.25,3923.5,6034.75,5360.75,5752,5705.5,6050.25,4148,3524.5,3900.5,8022,7065.25,7224,9532.75,8091.75,8758,8014.25,8591.5,7956.25,7115.75,7607.5,5910.75,8343.75,8347.5,7138.75,8738.5,8645.75,8227.25,8475.25,9560,7595.75,9076,8835.5,7495,7859.5,8785.25,7847.75,6592.5,6391.25,6116
27,7216.25,9157,10598,6619.75,8661.25,7801.25,6941.25,8851.25,7820.75,3858,2595,6898.5,5972.75,6403,5980.75,7642.25,7193,6806,6368,5980.75,5876,4008.75,6612.25,5469.25,6050.25,6267.25,6643,4400,4047.75,3916,9250,7630.75,8308.75,10482,9002,9672.25,9188,9374.25,9153,7719.75,8463.75,6507.5,8618.75,8897.5,8026,8936.25,9083.5,8544.75,8715.5,10048.25,8025.75,9250.25,9316,7719.75,8448.25,9191.75,8231.25,7297.75,6697.25,6123.75
