Date,Elapsed,Control,Erlotinib 1.37 nM,Erlotinib 4.12 nM,Erlotinib 12.3 nM,Erlotinib 37.0 nM,Erlotinib 111 nM,Erlotinib 333 nM,THZ1 11.1 nM,THZ1 33.3 nM,THZ1 100 nM,THZ1 300 nM
,0,0.04899885,0.107695,0.1999051,0.1325359,0.1458356,0.1000635,0.09294416,0.2000587,0.1411577,0.05104759,0.1271068
,3,0.08625164,0.1370602,0.2751277,0.1430186,0.2126072,0.2347847,0.1378455,0.2867372,0.2178998,0.1323993,0.1451698
,6,0.07774939,0.1239654,0.3030246,0.2089195,0.226863,0.2228509,0.1723155,0.2729253,0.2263508,0.1452039,0.1619182
,9,0.08123224,0.1248702,0.2978516,0.1805446,0.2199997,0.2723107,0.1918126,0.294198,0.2207509,0.156028,0.2174559
,12,0.077186,0.112151,0.275418,0.185581,0.1916931,0.2837836,0.1969856,0.264628,0.2101487,0.1671936,0.2300556
,15,0.07809085,0.1081219,0.2650889,0.1819616,0.2188388,0.2927297,0.1977539,0.2762204,0.2034221,0.1929223,0.3010612
,18,0.09294416,0.1080194,0.2574915,0.1866054,0.2238752,0.311322,0.2042757,0.2397529,0.1918979,0.2039342,0.4334776
,21,0.1028805,0.1138583,0.25056,0.1821665,0.2264532,0.3124146,0.2267435,0.1845225,0.1883297,0.2067342,0.6198782
,24,0.1124071,0.1244093,0.2513965,0.1838396,0.2224411,0.3158292,0.2285361,0.1806982,0.1852054,0.2356725,0.7466435
,27,0.1000123,0.1194923,0.254777,0.1849664,0.2173022,0.3228973,0.2508844,0.1874932,0.1825591,0.2632792,0.9252076
,30,0.08939303,0.1241703,0.2415626,0.1849323,0.2002295,0.3363336,0.2897591,0.2003319,0.192393,0.2861396,1.043556
,33,0.1019244,0.1153949,0.2337092,0.1881419,0.2437821,0.336675,0.338314,0.2009465,0.2274947,0.2982613,1.201138
,36,0.1216264,0.1307945,0.2434406,0.1819787,0.2598134,0.3780594,0.4127513,0.2135121,0.217012,0.3304947,1.307177
,39,0.1277726,0.1709155,0.2621695,0.1832421,0.2649182,0.4620916,0.4921567,0.305227,0.2299702,0.361533,1.403689
,42,0.1438893,0.1865029,0.2759643,0.2075366,0.2776715,0.559782,0.6157978,0.2659255,0.2304995,0.4042661,1.457998
,45,0.139826,0.2293044,0.2924736,0.2133584,0.3688402,0.715332,0.838273,0.2944028,0.2307897,0.410583,1.461071
,48,0.1589304,0.2513624,0.3045099,0.244926,0.4501236,0.8321269,1.035908,0.3128244,0.2553745,0.4447457,1.519169
,51,0.1725545,0.3315532,0.3272167,0.2655157,0.5082052,0.9940962,1.321125,0.2980735,0.2467186,0.4726084,1.546093
,54,0.1879541,0.4189829,0.3595696,0.2700059,0.600603,1.20503,1.671032,0.3487455,0.2771764,0.4873764,1.556746
,57,0.2042928,0.507471,0.4475627,0.3196706,0.8061421,1.516113,2.061605,0.3546868,0.3038612,0.5197293,1.633523
,60,0.2846031,0.6096004,0.4754425,0.3262777,0.9376878,1.748064,2.382795,0.4149537,0.3325434,0.5421799,1.622289
,63,0.3757375,0.7851426,0.5673452,0.3865275,1.128186,2.023345,2.653006,0.5154611,0.3708889,0.5604137,1.62543
,66,0.5262511,1.066382,0.6822621,0.4795058,1.362031,2.286624,2.947887,0.6582748,0.4511821,0.6044614,1.64363
,69,0.6632259,1.290309,0.8568482,0.6169246,1.553451,2.504234,3.260746,0.764365,0.5915886,0.6260414,1.607572
,72,0.873921,1.704938,1.13073,0.708759,1.787639,2.731404,3.498808,0.9705528,0.74608,0.6962276,1.605899
,0,0.1044683,0.09791234,0.2279727,0.1298213,0.2393944,0.1117242,0.1839079,0.09926109,0.1333213,0.1017708,0.04440628
,3,0.1665961,0.1809372,0.2790032,0.1726228,0.2754862,0.2236021,0.2134267,0.1886029,0.1687985,0.1889785,0.07819329
,6,0.1707789,0.1899346,0.2972028,0.1748252,0.2948297,0.2149462,0.2382847,0.1982661,0.1596304,0.2055049,0.1514355
,9,0.1679107,0.1872712,0.2758448,0.1626352,0.2958711,0.1929052,0.2402309,0.1925126,0.1666815,0.2101658,0.152255
,12,0.2085268,0.2020733,0.2869079,0.157428,0.3416944,0.199649,0.2556989,0.1833786,0.1794007,0.2103536,0.2157145
,15,0.2418016,0.202227,0.2678888,0.1539964,0.3411481,0.2032172,0.2636719,0.1472697,0.188637,0.2286898,0.276374
