Date Time,Elapsed,Control,no reagent_control,TXL 2.5 nM,Cis 2.5 uM,TXL 5 nM,Cis 5 uM,TXL 10 nM,Cis 10 uM,TXL 20 nM,Cis 50 uM,TXL 40 nM,Cis 100 uM,blank,
2/18/17 12:00,0,0.1234,0.0002,0.0956,0.0477,0.0582,0.2923,0.0483,0.0474,0.0423,0.1731,0.0410,0.0850,0.0332,
2/18/17 15:00,3,0.1397,0.0000,0.1144,0.0891,0.0770,0.2856,0.0648,0.0849,0.0718,0.1878,0.0652,0.0954,0.0413,
2/18/17 18:00,6,0.1609,0.0000,0.1431,0.1440,0.1086,0.3119,0.1913,0.1327,0.1654,0.2191,0.2039,0.1317,0.0379,
2/18/17 21:00,9,0.1901,0.0000,0.1902,0.2368,0.1811,0.4199,0.3547,0.2246,0.3740,0.3224,0.3352,0.2553,0.0465,
2/19/17 0:00,12,0.1961,0.0000,0.1797,0.2131,0.1865,0.3692,0.2775,0.2136,0.2984,0.2954,0.2763,0.2901,0.0465,
2/19/17 3:00,15,0.1790,0.0000,0.1583,0.1857,0.1649,0.3548,0.2487,0.1884,0.2592,0.2576,0.2541,0.3343,0.0451,
2/19/17 6:00,18,0.1685,0.0000,0.1419,0.1868,0.1549,0.3305,0.2300,0.1652,0.2449,0.2596,0.2372,0.5038,0.0455,
2/19/17 9:00,21,0.1561,0.0000,0.1472,0.1695,0.1489,0.3269,0.2314,0.1588,0.2335,0.2910,0.2301,0.7412,0.0455,
2/19/17 12:00,24,0.1669,0.0000,0.1406,0.1567,0.1362,0.3127,0.2143,0.1586,0.2178,0.3117,0.2388,0.9785,0.0456,
2/19/17 15:00,27,0.1538,0.0000,0.1352,0.1463,0.1287,0.2974,0.2093,0.1527,0.2082,0.3191,0.2506,1.1925,0.0435,
2/19/17 18:00,30,0.1439,0.0000,0.1418,0.1323,0.1291,0.2876,0.1997,0.1404,0.2262,0.3236,0.2588,1.4018,0.0434,
2/19/17 21:00,33,0.1371,0.0000,0.1397,0.1162,0.1169,0.2701,0.1965,0.1348,0.2235,0.3425,0.2951,1.5833,0.0423,
2/20/17 0:00,36,0.1309,0.0000,0.1350,0.1169,0.1056,0.2118,0.1797,0.1223,0.2258,0.3572,0.3199,1.6979,0.0411,
2/20/17 3:00,39,0.1297,0.0000,0.1337,0.1208,0.0999,0.2156,0.1766,0.1182,0.2253,0.4137,0.3568,1.8778,0.0419,
2/20/17 6:00,42,0.1391,0.0000,0.1312,0.1370,0.1001,0.2164,0.1691,0.1221,0.2287,0.4648,0.3839,1.9713,0.0416,
2/20/17 9:00,45,0.1245,0.0000,0.1286,0.1164,0.1046,0.1931,0.1600,0.1234,0.2384,0.5035,0.4286,1.9895,0.0411,
2/20/17 12:00,48,0.1131,0.0000,0.1230,0.1083,0.0945,0.1837,0.1717,0.1326,0.2741,0.5841,0.4692,2.0485,0.0404,
2/20/17 15:00,51,0.1051,0.0000,0.1257,0.1123,0.0875,0.1783,0.1819,0.1408,0.2941,0.6775,0.5230,2.1036,0.0403,
2/20/17 18:00,54,0.1451,0.0001,0.1853,0.1950,0.1877,0.2627,0.2396,0.2296,0.4994,1.0314,0.7590,2.5221,0.0450,
2/20/17 21:00,57,0.1289,0.0000,0.1556,0.2276,0.1771,0.3043,0.2743,0.2550,0.5500,1.1848,0.9493,2.5752,0.0468,
2/21/17 0:00,60,0.1222,0.0000,0.1458,0.2398,0.1702,0.2917,0.2680,0.2525,0.5687,1.1440,0.9847,2.3862,0.0480,
2/21/17 3:00,63,0.1063,0.0000,0.1439,0.2668,0.1704,0.3293,0.2940,0.2610,0.5948,1.1944,1.0478,2.3550,0.0452,
2/21/17 6:00,66,0.1071,0.0000,0.1421,0.3060,0.1713,0.3519,0.3156,0.2766,0.6486,1.2436,1.1120,2.3244,0.0449,
2/21/17 9:00,69,0.1046,0.0000,0.1465,0.3696,0.1726,0.4196,0.3279,0.3143,0.7131,1.2897,1.1828,2.3038,0.0445,
2/21/17 12:00,72,0.1010,0.0000,0.1515,0.4529,0.1744,0.5169,0.3609,0.3447,0.7470,1.3124,1.2690,2.2690,0.0428,
2/18/17 12:00,0,0.0680,0.0000,0.0613,0.0521,0.0755,0.0391,0.0620,0.0252,0.0677,0.0851,0.0689,0.0776,0.0216,
2/18/17 15:00,3,0.1017,0.0000,0.0768,0.0975,0.1175,0.1155,0.0980,0.0677,0.1045,0.1128,0.1200,0.0892,0.0269,
2/18/17 18:00,6,0.1198,0.0000,0.0927,0.1207,0.1203,0.1651,0.1155,0.0766,0.1181,0.1216,0.1634,0.1592,0.0304,
2/18/17 21:00,9,0.1643,0.0000,0.1651,0.1642,0.1877,0.3036,0.2293,0.1226,0.2509,0.1746,0.2828,0.2675,0.0286,
2/19/17 0:00,12,0.1550,0.0000,0.1574,0.1687,0.1826,0.2829,0.1955,0.1061,0.2584,0.1750,0.2613,0.3016,0.0282,
2/19/17 3:00,15,0.1465,0.0000,0.1363,0.1446,0.1645,0.2422,0.1691,0.1055,0.2399,0.1589,0.2129,0.3985,0.0276,
2/19/17 6:00,18,0.1362,0.0000,0.1249,0.1392,0.1640,0.2304,0.1565,0.1075,0.2133,0.1587,0.2071,0.5875,0.0271,
2/19/17 9:00,21,0.1323,0.0000,0.1256,0.1336,0.1495,0.2202,0.1538,0.1094,0.2153,0.1771,0.2008,0.8333,0.0279,
2/19/17 12:00,24,0.1341,0.0000,0.1199,0.1252,0.1441,0.2067,0.1418,0.1091,0.2151,0.1832,0.2041,1.1217,0.0281,
2/19/17 15:00,27,0.1193,0.0000,0.1103,0.1151,0.1426,0.1878,0.1318,0.0984,0.2137,0.1888,0.2148,1.3491,0.0261,
2/19/17 18:00,30,0.1047,0.0000,0.1087,0.1120,0.1367,0.1764,0.1352,0.0918,0.2171,0.2074,0.2249,1.5565,0.0264,
2/19/17 21:00,33,0.1034,0.0000,0.1068,0.1122,0.1303,0.1690,0.1293,0.0925,0.2167,0.2181,0.2384,1.7407,0.0252,
2/20/17 0:00,36,0.0947,0.0000,0.1074,0.1185,0.1214,0.1748,0.1235,0.1034,0.2289,0.2528,0.2513,1.8446,0.0247,
2/20/17 3:00,39,0.0994,0.0000,0.1093,0.1227,0.1211,0.1809,0.1322,0.1029,0.2411,0.3002,0.2726,1.9864,0.0250,
2/20/17 6:00,42,0.0984,0.0000,0.1070,0.1166,0.1203,0.1866,0.1143,0.1032,0.2506,0.3603,0.3123,2.0953,0.0251,
2/20/17 9:00,45,0.0909,0.0000,0.0882,0.1093,0.1291,0.1704,0.1163,0.1016,0.2581,0.4204,0.3265,2.0976,0.0241,
2/20/17 12:00,48,0.0872,0.0000,0.0895,0.1167,0.1118,0.1573,0.1201,0.1187,0.2664,0.4951,0.3628,2.1696,0.0237,
2/20/17 15:00,51,0.0883,0.0000,0.0783,0.1246,0.1104,0.1644,0.1321,0.1209,0.2767,0.5818,0.4060,2.2511,0.0240,
2/20/17 18:00,54,0.1694,0.0000,0.1440,0.1826,0.1416,0.2653,0.2238,0.1703,0.4461,0.8715,0.6511,2.6353,0.0278,
2/20/17 21:00,57,0.1389,0.0000,0.1593,0.1988,0.1683,0.3386,0.2505,0.1677,0.5020,0.9819,0.7925,2.6499,0.0258,
2/21/17 0:00,60,0.1266,0.0001,0.1406,0.1952,0.1588,0.3230,0.2333,0.1626,0.5164,0.9579,0.7982,2.4324,0.0230,
2/21/17 3:00,63,0.1205,0.0000,0.1403,0.2099,0.1631,0.3334,0.2479,0.1770,0.5341,1.0038,0.8519,2.3865,0.0212,
2/21/17 6:00,66,0.1260,0.0000,0.1447,0.2534,0.1622,0.3671,0.2803,0.2013,0.5649,1.0365,0.8826,2.3680,0.0215,
2/21/17 9:00,69,0.1270,0.0000,0.1447,0.2929,0.1683,0.4173,0.3044,0.2406,0.6251,1.0632,0.9452,2.3371,0.0210,
2/21/17 12:00,72,0.1192,0.0000,0.1565,0.3495,0.1711,0.4624,0.3171,0.2672,0.7023,1.0791,1.0006,2.3112,0.0200,
2/18/17 12:00,0,0.0810,0.0000,0.0214,0.0564,0.0677,0.0557,0.0792,0.0535,0.0555,0.0288,0.1517,0.0230,0.1707,
2/18/17 15:00,3,0.1017,0.0000,0.0328,0.0870,0.0925,0.0849,0.0876,0.1039,0.0863,0.0473,0.1680,0.0867,0.2037,
2/18/17 18:00,6,0.1302,0.0000,0.0439,0.1465,0.1002,0.1616,0.0790,0.1533,0.1001,0.0654,0.1906,0.1409,0.2128,
2/18/17 21:00,9,0.1519,0.0000,0.1273,0.1772,0.1530,0.2813,0.2146,0.2089,0.2104,0.1157,0.3605,0.2882,0.2052,
2/19/17 0:00,12,0.1783,0.0000,0.1374,0.1674,0.1614,0.2656,0.1911,0.1791,0.2228,0.1146,0.3482,0.2959,0.2043,
2/19/17 3:00,15,0.1577,0.0000,0.1195,0.1545,0.1533,0.2313,0.1700,0.1566,0.2045,0.1075,0.2888,0.3651,0.1994,
2/19/17 6:00,18,0.1477,0.0000,0.1060,0.1445,0.1470,0.2106,0.1647,0.1437,0.1972,0.1114,0.2409,0.5100,0.1995,
2/19/17 9:00,21,0.1395,0.0000,0.1023,0.1388,0.1463,0.2007,0.1626,0.1365,0.1830,0.1269,0.2469,0.7182,0.2011,
2/19/17 12:00,24,0.1309,0.0000,0.0989,0.1319,0.1460,0.1955,0.1549,0.1377,0.1898,0.1409,0.2554,0.9555,0.1972,
2/19/17 15:00,27,0.1335,0.0000,0.0964,0.1229,0.1254,0.1683,0.1421,0.1301,0.1868,0.1463,0.2385,1.1160,0.1937,
2/19/17 18:00,30,0.1293,0.0000,0.0934,0.1172,0.1199,0.1570,0.1447,0.1279,0.1901,0.1539,0.2439,1.3125,0.1920,
2/19/17 21:00,33,0.1222,0.0000,0.0925,0.1092,0.1082,0.1501,0.1511,0.1200,0.1810,0.1666,0.2583,1.4752,0.1905,
2/20/17 0:00,36,0.1251,0.0000,0.0941,0.1012,0.1092,0.1457,0.1469,0.1190,0.1747,0.1853,0.2760,1.5720,0.1903,
2/20/17 3:00,39,0.1233,0.0000,0.0899,0.1047,0.1126,0.1453,0.1445,0.1283,0.1723,0.2211,0.3114,1.7090,0.1913,
2/20/17 6:00,42,0.1232,0.0000,0.0888,0.1112,0.1112,0.1431,0.1367,0.1303,0.1885,0.2848,0.3372,1.7924,0.1937,
2/20/17 9:00,45,0.1102,0.0000,0.0837,0.1018,0.1038,0.1454,0.1395,0.1296,0.1926,0.3331,0.3319,1.7832,0.1878,
2/20/17 12:00,48,0.1102,0.0000,0.0804,0.1044,0.0941,0.1435,0.1389,0.1328,0.1866,0.4086,0.3793,1.8240,0.1866,
2/20/17 15:00,51,0.0985,0.0000,0.0728,0.1116,0.0931,0.1564,0.1487,0.1313,0.2045,0.4830,0.4322,1.8931,0.1864,
2/20/17 18:00,54,0.1282,0.0000,0.1208,0.1793,0.1630,0.2961,0.2460,0.2022,0.3407,0.7666,0.6605,2.2671,0.1818,
2/20/17 21:00,57,0.1281,0.0000,0.1396,0.2237,0.2051,0.3214,0.2430,0.1873,0.4422,0.8699,0.7194,2.2961,0.2104,
2/21/17 0:00,60,0.1142,0.0000,0.1215,0.2358,0.1750,0.3135,0.2307,0.1881,0.4605,0.8217,0.6984,2.1119,0.2015,
2/21/17 3:00,63,0.1167,0.0000,0.1177,0.2359,0.1711,0.3276,0.2367,0.2164,0.4832,0.8647,0.7468,2.0728,0.1904,
2/21/17 6:00,66,0.1202,0.0000,0.1145,0.2810,0.1859,0.3343,0.2493,0.2327,0.5178,0.9219,0.8217,2.0629,0.1881,
2/21/17 9:00,69,0.1193,0.0000,0.1070,0.3206,0.1925,0.3866,0.2503,0.2554,0.5443,0.9668,0.8861,2.0703,0.1795,
2/21/17 12:00,72,0.1161,0.0000,0.1050,0.3993,0.1894,0.4617,0.2613,0.2846,0.5898,0.9890,0.9755,2.0697,0.1438,
