Date,Elapsed,Control,PIM447 2.5 µM,PIM447 5 µM,PIM447 10 µM,PIM447 20 µM,OSI-906 10 µM,OSI-906 15 µM,OSI-906 20 µM,OSI-906 2.5 µM,OSI-906 5 µM,OSI-906 7.5 µM
,0,7.507818,7.612953,8.283264,7.217326,6.008574,6.272502,6.146726,5.968043,6.794108,7.277268,6.678816
,3,8.932951,9.44551,10.58476,9.06704,7.66161,7.289372,7.357869,7.109426,8.122523,8.840827,7.9337
,6,9.921021,11.08612,12.20174,10.82518,9.094852,8.439566,8.036461,7.788308,9.406532,10.27327,9.450068
,9,11.5437,12.38256,14.13574,12.37204,10.08309,9.395368,8.799476,8.454111,10.65523,11.24906,10.97383
,12,12.64816,13.29149,15.73114,13.28163,10.97291,10.20716,9.522183,8.598,11.42354,12.30844,11.8141
,15,13.86411,15.15354,17.33082,14.71833,11.70629,10.95007,9.987297,9.131491,12.54674,13.66133,12.87523
,18,15.52637,16.17279,18.16731,16.22825,11.57278,11.45883,10.48494,9.428778,14.22573,14.63589,13.79239
,21,17.75375,18.61956,20.97603,17.9841,12.006,12.41378,10.76119,9.87617,15.47674,16.32399,14.98455
,24,20.73937,21.70488,23.91728,20.13267,12.55376,13.9904,11.8175,10.64334,18.46487,18.42128,17.17743
,27,22.69582,24.29134,26.64278,21.51194,12.7991,14.19519,11.82661,10.26968,20.17269,19.9481,18.48056
,30,24.6581,26.64759,29.21576,23.02939,12.6029,15.01962,12.31954,10.34337,21.913,21.91364,19.59316
,33,27.11214,29.3269,31.1287,24.33129,13.14696,16.15953,12.74798,10.54018,25.195,23.8656,21.53021
,36,30.48191,31.38457,33.29163,25.78811,13.43943,16.50706,13.02285,10.81304,27.80929,25.96493,22.90076
,39,33.71105,35.53762,36.27453,26.89407,13.61985,17.61967,13.65863,11.7376,30.5586,27.90529,24.62873
,42,37.37911,38.33039,39.20592,27.87447,13.69029,18.63744,13.81559,11.65911,33.2906,29.99626,26.28515
,45,42.10999,42.1394,43.2424,28.72895,13.58159,19.28609,14.16434,11.58905,36.96727,32.61426,28.0955
,48,46.69531,47.33588,46.88169,30.46035,14.94917,21.3048,15.74856,12.65733,41.992,35.7314,31.90848
,51,48.59798,49.0239,49.85258,30.87109,14.18544,21.82038,15.42689,12.03166,43.37006,37.46502,33.08895
,54,52.35807,53.16281,52.97368,32.10171,14.28446,23.20914,16.05028,12.2057,46.46221,40.86946,35.93021
,57,55.81116,55.54058,55.30283,32.47012,14.11636,24.12333,16.82933,12.39451,51.18565,43.6299,38.26385
,60,59.39004,59.57201,58.61478,32.95728,14.21808,25.45546,17.3011,12.54306,53.79863,45.34441,42.36702
,63,62.48615,63.05168,62.36183,33.36306,14.12874,26.64519,18.04604,12.79886,56.48227,48.58807,44.44762
,66,66.86648,66.6551,65.91166,33.95335,14.21054,28.75089,18.7241,13.33778,59.24614,51.08183,46.55068
,69,68.44965,69.07428,68.96697,34.48416,14.13425,30.2145,19.62523,13.32166,63.09024,53.65439,49.15079
,72,72.92712,73.94991,74.24028,37.43958,15.53349,34.08154,23.57809,15.49062,66.91063,59.40448,54.62948
,0,8.00701,9.37645,8.91453,8.650772,7.677575,6.752127,7.463293,7.415114,6.815296,7.382847,6.909863
,3,9.459102,11.97271,11.23969,10.89113,9.621668,7.968972,8.841716,8.711893,8.256666,9.029565,8.165514
,6,10.87233,13.1888,13.09376,13.05406,11.42569,9.062057,9.811993,9.773446,9.606489,10.31699,9.445289
,9,12.35391,14.94024,14.64623,14.81829,12.86018,9.92493,10.73203,10.33147,10.8361,11.6788,10.62927
,12,13.87096,16.42834,16.01376,16.22632,13.91975,10.76221,11.46643,10.7993,11.51214,12.57471,11.61203
,15,15.15485,17.86339,17.61015,17.90249,14.79026,11.5388,12.22091,10.96275,13.12975,13.89954,12.40753
,18,17.26342,19.83494,19.28554,19.65504,14.89055,12.08581,12.69425,11.2495,13.9282,14.73274,13.57369
,21,19.45214,22.36282,21.31969,21.62097,15.4747,13.20633,13.39482,12.00113,16.75182,16.58625,15.2088
,24,22.56375,25.5832,24.44498,24.31268,16.3768,15.0414,14.90315,12.9487,18.76827,19.53913,16.96832
,27,24.75514,28.20711,26.52238,24.75767,16.5884,15.01509,14.61525,12.45981,20.42778,20.58877,18.0
,30,27.30378,30.506,28.83034,26.50935,16.81956,15.48749,14.26075,12.8155,22.37104,22.71513,19.3113
,33,29.61735,33.74598,31.28046,28.25639,17.07977,16.44205,14.73257,13.24915,24.80278,24.55418,21.01634
,36,33.30298,36.61123,33.80183,29.49686,17.31218,16.36097,15.85236,13.5842,27.03855,26.30808,22.73229
,39,37.51786,39.31828,36.34868,30.54003,17.94299,17.07125,16.48712,13.79895,30.20591,28.72778,24.7449
,42,41.10416,44.11884,39.62185,31.09235,17.8144,17.68046,16.95196,13.75355,32.47205,30.41206,26.35988
,45,45.53983,46.82953,42.44885,32.14307,17.93636,18.03321,17.35543,14.14353,36.19612,33.6356,28.3747
,48,50.02073,50.82281,46.75843,34.39155,19.13026,20.0581,19.8002,15.82029,41.21367,38.46413,31.72197
,51,52.06893,54.05799,49.78262,33.45755,18.82418,19.9602,18.97594,15.02946,42.99466,40.73756,32.35422
,54,55.54022,57.75048,52.64702,34.099,18.7683,20.35979,19.29732,15.16414,46.29338,44.28846,35.65889
,57,58.63511,61.582,55.69605,34.18415,18.41341,21.6761,20.43216,15.11551,49.55749,46.98674,36.89374
,60,62.73238,65.58554,59.63863,35.05351,18.70677,22.6533,21.2459,15.67665,53.49933,49.98479,40.7105
,63,65.30558,68.40217,62.12169,34.76178,18.64217,23.57169,21.47616,15.90836,55.81982,51.73444,42.30417
,66,69.27135,71.49699,66.56947,34.68977,18.53794,24.39622,22.82409,16.04794,59.4196,54.86268,46.25686
,69,71.94694,73.69174,69.21532,34.57186,18.33361,25.4688,24.07375,16.32493,61.19183,58.78191,48.09175
,72,76.40683,77.62951,74.01643,37.28259,19.70254,29.04717,27.28622,18.66732,66.17289,63.28587,52.63933
,0,7.976723,9.082389,8.438901,8.406188,7.202713,7.352082,7.716039,7.16976,6.62572,7.238086,6.904228
,3,9.783108,11.29965,10.80947,10.46965,9.288576,8.715836,8.951594,8.208691,7.851733,8.802565,7.993966
,6,10.99731,13.07689,12.68317,12.43785,10.73418,10.15922,9.989004,9.129543,9.447559,9.975773,9.517951
,9,12.56793,14.47433,14.22633,14.30915,11.91852,11.2822,10.77116,9.95264,10.74161,11.15694,10.93779
,12,13.70286,16.30844,15.77302,15.77328,12.32773,12.16491,11.49906,10.27783,11.65522,12.64531,11.59832
,15,15.15673,17.96592,17.53164,17.40022,13.05507,13.27654,12.32787,10.71076,13.09888,13.87584,12.69992
,18,17.1442,19.66034,18.75432,18.802,13.4411,14.35824,12.683,10.97974,14.58199,14.96923,14.03452
,21,19.15362,22.21077,21.5577,21.18048,13.5376,15.85635,13.09932,11.09491,16.10934,16.71047,14.9896
,24,22.6022,26.40635,25.35036,23.23881,14.12072,17.3685,14.3959,12.06927,18.63017,18.93512,17.32476
,27,24.792,27.86946,26.98777,24.27178,14.34994,18.74552,13.62207,11.68199,20.62799,20.75462,18.13316
,30,27.44806,30.68792,28.93447,25.20158,14.57748,19.68612,14.00688,11.88814,22.61785,22.45491,19.53437
,33,30.15476,33.20179,31.89383,26.81031,14.5894,21.15637,15.00273,12.27245,24.92377,24.4704,20.98824
,36,33.37054,35.76482,34.08036,27.58737,14.84366,22.36005,15.27386,12.0446,26.88565,26.79181,22.39734
