Date,Elapsed,Control,PIM447 2.5 uM,PIM447 5 uM,PIM447 10 uM,PIM447 20 uM,BYL749 10 uM,BYL749 20 uM,BYL749 30 uM,BYL749 1.25 uM,BYL749 2.5 uM,BYL749 5 uM
,0,1.176621,1.415981,0.9859183,1.066604,1.128032,1.052297,0.9787136,1.324984,0.8725893,0.7982715,0.9522338
,3,1.259612,1.614828,1.243342,1.362527,1.514457,1.258792,1.16846,1.53532,1.066143,0.9769552,1.138771
,6,1.213379,1.682317,1.305025,1.456956,1.675249,1.195589,1.108603,1.42112,1.013218,0.982316,1.070651
,9,1.042993,1.625328,1.318769,1.515652,1.741423,1.04038,0.9748894,1.21512,0.9803185,0.9020398,0.9742064
,12,0.9144347,1.417296,1.304121,1.458032,1.8498,0.8646675,0.7930301,1.047244,0.8532287,0.7942594,0.814559
,15,0.9167054,1.27076,1.271255,1.49187,1.847718,0.7369632,0.7399851,0.8294635,0.7063518,0.8123907,0.710637
,18,0.8538605,1.200591,1.206072,1.529686,1.813197,0.7046103,0.6990446,0.7374924,0.6771232,0.7241586,0.7169368
,21,1.283531,1.413523,1.487892,1.885636,2.259171,0.8857353,0.846024,0.8057665,0.8330146,0.820654,0.8682699
,24,1.012689,1.193831,1.333452,1.786495,2.195848,0.7817451,0.8051519,0.7711258,0.7412997,0.7503995,0.8155833
,27,0.8407657,1.091769,1.299989,1.697682,2.276791,0.8196125,0.7426314,0.7485557,0.7072395,0.7254562,0.777272
,30,0.6760988,0.9178492,1.207079,1.632498,2.174234,0.7895303,0.7616163,0.7402412,0.6254951,0.6591626,0.7238684
,33,0.5809693,0.7709039,1.032356,1.584285,2.113916,0.8016008,0.764143,0.7958643,0.5589796,0.5960104,0.6657356
,36,0.4841496,0.5916057,0.921315,1.453132,2.118697,0.6641819,0.7804134,0.7642796,0.4978079,0.573611,0.613988
,39,0.3846837,0.4436018,0.8219514,1.379258,2.087778,0.6310266,0.7674894,0.7976057,0.3945518,0.5031345,0.5592356
,42,0.324468,0.3324239,0.7538311,1.288482,2.08112,0.5776913,0.7556238,0.7983569,0.3047148,0.4154317,0.4593941
,45,0.2402822,0.3124317,0.608815,1.244332,1.974176,0.5429312,0.7899742,0.8222759,0.2984149,0.3422578,0.4270754
,48,0.2275459,0.2864128,0.5713915,1.28377,2.064542,0.4730352,0.8193223,0.8425754,0.2294751,0.2837665,0.3750205
